Time	Voltage
1700030330295286762	16.427000045776367
1700030337025849167	16.42500114440918
1700030343752175713	16.43400001525879
1700030350480651710	16.428001403808594
1700030357219955187	16.426000595092773
1700030363938770085	16.426000595092773
1700030370681725411	16.437000274658203
1700030377399659306	16.393001556396484
1700030384126979322	15.734001159667969
1700030390860592191	15.247000694274902
1700030397593309117	15.01400089263916
1700030404315322808	14.976000785827637
1700030411045098514	15.099000930786133
1700030417779662905	15.717000961303711
1700030424511139782	15.893000602722168
1700030431237335465	15.947000503540039
1700030437971763210	15.982000350952148
1700030444694999275	15.998001098632812
1700030451426269100	16.005001068115234
